sample_fp	plate	well	cycle	channel
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c1/20220630_124506_255/WellA1_ChannelDapi_1p-CY3_30p_545-A594_30p-CY5_30p-CY7_30p_Seq0000.nd2	1	A1	1	Dapi_1p-CY3_30p_545-A594_30p-CY5_30p-CY7_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c2/20220701_105238_346/WellA1_ChannelA594_30p_Seq0006.nd2	1	A1	2	A594_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c2/20220701_105238_346/WellA1_ChannelCY3_30p_545_Seq0000.nd2	1	A1	2	CY3_30p_545
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c2/20220701_105238_346/WellA1_ChannelCY5_30p_Seq0012.nd2	1	A1	2	CY5_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c2/20220701_105238_346/WellA1_ChannelCY7_30p_Seq0018.nd2	1	A1	2	CY7_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c3/20220701_150447_029/WellA1_ChannelA594_30p_Seq0006.nd2	1	A1	3	A594_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c3/20220701_150447_029/WellA1_ChannelCY3_30p_545_Seq0000.nd2	1	A1	3	CY3_30p_545
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c3/20220701_150447_029/WellA1_ChannelCY5_30p_Seq0012.nd2	1	A1	3	CY5_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c3/20220701_150447_029/WellA1_ChannelCY7_30p_Seq0018.nd2	1	A1	3	CY7_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c4/20220705_124413_257/WellA1_ChannelA594_30p_Seq0006.nd2	1	A1	4	A594_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c4/20220705_124413_257/WellA1_ChannelCY3_30p_545_Seq0000.nd2	1	A1	4	CY3_30p_545
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c4/20220705_124413_257/WellA1_ChannelCY5_30p_Seq0012.nd2	1	A1	4	CY5_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c4/20220705_124413_257/WellA1_ChannelCY7_30p_Seq0018.nd2	1	A1	4	CY7_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c5/20220705_170515_337/WellA1_ChannelA594_30p_Seq0006.nd2	1	A1	5	A594_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c5/20220705_170515_337/WellA1_ChannelCY3_30p_545_Seq0000.nd2	1	A1	5	CY3_30p_545
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c5/20220705_170515_337/WellA1_ChannelCY5_30p_Seq0012.nd2	1	A1	5	CY5_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c5/20220705_170515_337/WellA1_ChannelCY7_30p_Seq0018.nd2	1	A1	5	CY7_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c6/20220706_103918_895/WellA1_ChannelA594_30p_Seq0006.nd2	1	A1	6	A594_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c6/20220706_103918_895/WellA1_ChannelCY3_30p_545_Seq0000.nd2	1	A1	6	CY3_30p_545
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c6/20220706_103918_895/WellA1_ChannelCY5_30p_Seq0012.nd2	1	A1	6	CY5_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c6/20220706_103918_895/WellA1_ChannelCY7_30p_Seq0018.nd2	1	A1	6	CY7_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c7/20220706_145513_468/WellA1_ChannelA594_30p_Seq0006.nd2	1	A1	7	A594_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c7/20220706_145513_468/WellA1_ChannelCY3_30p_545_Seq0000.nd2	1	A1	7	CY3_30p_545
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c7/20220706_145513_468/WellA1_ChannelCY5_30p_Seq0012.nd2	1	A1	7	CY5_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c7/20220706_145513_468/WellA1_ChannelCY7_30p_Seq0018.nd2	1	A1	7	CY7_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c8/20220706_183746_648/WellA1_ChannelA594_30p_Seq0006.nd2	1	A1	8	A594_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c8/20220706_183746_648/WellA1_ChannelCY3_30p_545_Seq0000.nd2	1	A1	8	CY3_30p_545
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c8/20220706_183746_648/WellA1_ChannelCY5_30p_Seq0012.nd2	1	A1	8	CY5_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c8/20220706_183746_648/WellA1_ChannelCY7_30p_Seq0018.nd2	1	A1	8	CY7_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c9/20220707_103337_096/WellA1_ChannelA594_30p_Seq0006.nd2	1	A1	9	A594_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c9/20220707_103337_096/WellA1_ChannelCY3_30p_545_Seq0000.nd2	1	A1	9	CY3_30p_545
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c9/20220707_103337_096/WellA1_ChannelCY5_30p_Seq0012.nd2	1	A1	9	CY5_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c9/20220707_103337_096/WellA1_ChannelCY7_30p_Seq0018.nd2	1	A1	9	CY7_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c1/20220630_124506_255/WellA2_ChannelDapi_1p-CY3_30p_545-A594_30p-CY5_30p-CY7_30p_Seq0001.nd2	1	A2	1	Dapi_1p-CY3_30p_545-A594_30p-CY5_30p-CY7_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c2/20220701_105238_346/WellA2_ChannelA594_30p_Seq0007.nd2	1	A2	2	A594_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c2/20220701_105238_346/WellA2_ChannelCY3_30p_545_Seq0001.nd2	1	A2	2	CY3_30p_545
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c2/20220701_105238_346/WellA2_ChannelCY5_30p_Seq0013.nd2	1	A2	2	CY5_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c2/20220701_105238_346/WellA2_ChannelCY7_30p_Seq0019.nd2	1	A2	2	CY7_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c3/20220701_150447_029/WellA2_ChannelA594_30p_Seq0007.nd2	1	A2	3	A594_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c3/20220701_150447_029/WellA2_ChannelCY3_30p_545_Seq0001.nd2	1	A2	3	CY3_30p_545
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c3/20220701_150447_029/WellA2_ChannelCY5_30p_Seq0013.nd2	1	A2	3	CY5_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c3/20220701_150447_029/WellA2_ChannelCY7_30p_Seq0019.nd2	1	A2	3	CY7_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c4/20220705_124413_257/WellA2_ChannelA594_30p_Seq0007.nd2	1	A2	4	A594_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c4/20220705_124413_257/WellA2_ChannelCY3_30p_545_Seq0001.nd2	1	A2	4	CY3_30p_545
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c4/20220705_124413_257/WellA2_ChannelCY5_30p_Seq0013.nd2	1	A2	4	CY5_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c4/20220705_124413_257/WellA2_ChannelCY7_30p_Seq0019.nd2	1	A2	4	CY7_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c5/20220705_170515_337/WellA2_ChannelA594_30p_Seq0007.nd2	1	A2	5	A594_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c5/20220705_170515_337/WellA2_ChannelCY3_30p_545_Seq0001.nd2	1	A2	5	CY3_30p_545
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c5/20220705_170515_337/WellA2_ChannelCY5_30p_Seq0013.nd2	1	A2	5	CY5_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c5/20220705_170515_337/WellA2_ChannelCY7_30p_Seq0019.nd2	1	A2	5	CY7_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c6/20220706_103918_895/WellA2_ChannelA594_30p_Seq0007.nd2	1	A2	6	A594_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c6/20220706_103918_895/WellA2_ChannelCY3_30p_545_Seq0001.nd2	1	A2	6	CY3_30p_545
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c6/20220706_103918_895/WellA2_ChannelCY5_30p_Seq0013.nd2	1	A2	6	CY5_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c6/20220706_103918_895/WellA2_ChannelCY7_30p_Seq0019.nd2	1	A2	6	CY7_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c7/20220706_145513_468/WellA2_ChannelA594_30p_Seq0007.nd2	1	A2	7	A594_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c7/20220706_145513_468/WellA2_ChannelCY3_30p_545_Seq0001.nd2	1	A2	7	CY3_30p_545
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c7/20220706_145513_468/WellA2_ChannelCY5_30p_Seq0013.nd2	1	A2	7	CY5_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c7/20220706_145513_468/WellA2_ChannelCY7_30p_Seq0019.nd2	1	A2	7	CY7_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c8/20220706_183746_648/WellA2_ChannelA594_30p_Seq0007.nd2	1	A2	8	A594_30p
/archive/cheeseman/ops_data/baker/input_sbs/plate_1/c8/20220706_183746_648/WellA2_ChannelCY3_30p_545_Seq0001.nd2	1	A2	8	CY3_30p_545
